init done.
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
AddClass: 14
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
AddClass: 14
AddClass: 15
AddClass: 16
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddCourse: FAILURE
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
AddClass: 14
AddClass: 15
AddClass: 16
AddClass: 17
AddClass: 18
RemoveCourse: SUCCESS
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
GetIthWatchedClass: FAILURE
TimeViewed: 0
WatchClass: INVALID_INPUT
RemoveCourse: SUCCESS
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
AddClass: 14
AddClass: 15
AddClass: 16
AddClass: 17
AddClass: 18
WatchClass: SUCCESS
GetIthWatchedClass: 5043666 3
GetIthWatchedClass: 5043666 3
RemoveCourse: SUCCESS
RemoveCourse: SUCCESS
AddCourse: INVALID_INPUT
RemoveCourse: SUCCESS
AddCourse: SUCCESS
AddClass: 0
TimeViewed: 0
TimeViewed: 0
AddCourse: FAILURE
AddClass: 14
AddClass: 15
AddClass: 16
AddClass: 17
AddClass: 18
AddClass: 19
AddClass: 20
AddClass: 21
AddClass: 22
AddClass: 23
AddClass: 24
AddClass: 25
AddClass: 26
AddClass: 27
AddClass: 28
AddClass: 29
AddClass: 30
AddClass: 31
WatchClass: INVALID_INPUT
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddClass: 9
AddClass: 10
AddClass: 11
AddClass: 12
AddClass: 13
AddClass: 14
AddClass: 15
AddClass: 16
AddCourse: SUCCESS
AddClass: 0
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
TimeViewed: 0
TimeViewed: FAILURE
WatchClass: SUCCESS
WatchClass: SUCCESS
AddCourse: SUCCESS
AddClass: 0
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
WatchClass: SUCCESS
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddCourse: SUCCESS
AddClass: 0
AddClass: 1
AddClass: 2
AddClass: 3
AddClass: 4
AddClass: 5
AddClass: 6
AddClass: 7
AddClass: 8
TimeViewed: 0
AddCourse: SUCCESS
AddClass: 0
WatchClass: SUCCESS
WatchClass: SUCCESS
